Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
DNA,Ginkgo Bioworks Holdings Inc.,7.88,527.9,38,45,44,NA,NA,34.55,-14.1,21.4,-31,MEDICAL,-51.1
LNWO,Light & Wonder Inc.,79.82,6223.8,28,35,69,NA,NA,34.55,-12.8,2,-9.5,LEISURE,62.7
TNGX,Tango Therapeutics Inc.,21.75,3960.7,61,38,24,NA,NA,34.55,-22.2,16.4,176.4,MEDICAL,-37.2
IIPR,Innovative Industrial Properties Inc.,55.62,1555.9,46,40,40,NA,NA,34.5,-6.7,3.9,-4.5,REAL EST,6.1
CIG.C,Companhia Energetica de Minas Gerais-CEMIG ADR,3.35,7369.3,78,39,1,NA,NA,34.45,13.9,12.4,19.2,ENERGY,0
FE,FirstEnergy Corp.,45.26,26461.2,41,40,46,NA,NA,34.45,-2.6,-10.7,4.2,UTILITY,8.2
KVYO,Klaviyo Inc.,15.42,4518.6,33,44,51,NA,NA,34.45,16.4,-17.9,-54.1,SOFTWARE,-2.8
BTI,British American Tobacco PLC ADR,55.83,120272.8,36,44,47,NA,NA,34.4,-5.2,-3.9,1.7,ALCOHL/TOB/THC,16
ELVR,Elevra Lithium Ltd. ADR,44.92,857.8,33,35,62,NA,NA,34.4,-48.3,-1.5,124.3,MINING,8.6
LCLN,Lincoln International Inc.,26.11,2647.8,67,44,8,NA,NA,34.35,10,0,0,BANKS,54.8
LW,Lamb Weston Holdings Inc.,46.67,6387.4,49,34,43,NA,NA,34.35,3.6,12.6,-17.4,FOOD/BEV,16.3
SKYW,Skywest Inc.,96.38,3713.9,53,50,18,NA,NA,34.35,4,8.3,-7.8,TRANSPORTATION,16.6
SRE,Sempra,81.31,53737.5,28,39,63,NA,NA,34.35,-10.3,-14.4,-1.4,UTILITY,5.8
CION,CION Investment Corp.,7.13,357.2,41,48,35,NA,NA,34.25,8.9,6.3,-29.5,FINANCE,-2.7
EXC,Exelon Corp.,42.07,44015.3,30,39,60,NA,NA,34.25,-8.2,-14.6,-2.4,UTILITY,9.9
HON,Honeywell International Inc.,206.46,65444.9,29,48,50,NA,NA,34.25,-14,-14.3,-0.5,ELECTRNCS,27.2
ANGPY,Valterra Platinum Ltd. ADR,14.65,23651.6,76,40,1,NA,NA,34.2,13.9,0.8,49.6,MINING,0
LYV,Live Nation Entertainment Inc.,167.12,39666.6,55,37,31,NA,NA,34.2,-2.4,6.8,1.5,LEISURE,-24.7
MTX,Minerals Technologies Inc.,66.93,2136.1,38,34,56,NA,NA,34.2,-14.9,-1,3.5,CHEMICAL,-1.1
NPCE,NeuroPace Inc.,14.28,485.7,49,35,41,NA,NA,34.2,-8.6,5.3,38.4,MEDICAL,-158.7
